"Meshcode","Shicode","PopT","Pop0_14","Pop15_64","Pop65over","Pop75over","Pop85over"
6341400282,1205,21.4501,1.9796,9.8132,9.6572,5.4741,1.0458
6341400283,1205,14.8620,0.7506,4.3535,9.7579,4.9540,1.2010
6341400284,1205,16.7550,0.8462,4.9080,11.0008,5.5850,1.3539
6341400290,1205,62.4583,6.0329,29.6322,26.7932,15.4371,2.8390
6341400291,1205,53.5174,5.1693,25.3903,22.9577,13.2273,2.4326
6341400292,1205,36.4656,3.5222,17.3004,15.6429,9.0128,1.6575
6341400293,1205,45.9264,2.3195,13.4532,30.1537,15.3088,3.7112
6341400294,1205,1.9036,0.0961,0.5576,1.2499,0.6345,0.1538
6341401089,1205,9.3691,1.7678,6.0104,1.4142,0.7071,0.3536
6341401097,1205,12.5733,2.3723,8.0659,1.8978,0.9489,0.4745
6341401098,1205,9.4147,1.7764,6.0396,1.4211,0.7105,0.3553
6341401099,1205,21.6430,4.0836,13.8842,3.2669,1.6334,0.8167
6341401105,1205,8.4508,0.2284,5.5958,2.3982,1.0278,0.3426
6341401106,1205,18.5583,0.5016,12.2886,5.2665,2.2571,0.7524
6341401107,1205,28.7707,1.9427,18.9101,7.4175,2.7592,0.6705
6341401108,1205,46.2310,3.9241,30.2893,11.4045,3.9241,0.7358
6341401109,1205,35.8221,3.0406,23.4697,8.8368,3.0406,0.5701
6341401115,1205,2.7022,0.0730,1.7893,0.7669,0.3287,0.1096
6341401116,1205,33.0031,0.8920,21.8534,9.3657,4.0139,1.3380
6341401117,1205,63.4397,5.2313,41.5825,15.7480,5.4823,1.0750
6341401118,1205,49.4616,4.1983,32.4059,12.2014,4.1983,0.7872
6341401119,1205,87.9364,7.4641,57.6135,21.6925,7.4641,1.3995
6341401127,1205,53.3101,4.4685,33.6143,14.6070,5.4827,1.1025
6341401128,1205,202.5026,15.8674,101.9799,83.9960,39.5768,9.1610
6341401129,1205,125.9308,9.7866,61.5376,54.3208,25.9836,6.0609
6341401136,1205,1.0726,0.0830,0.5165,0.4711,0.2269,0.0531
6341401137,1205,83.8543,6.4910,40.3799,36.8325,17.7370,4.1512
6341401138,1205,170.4946,13.1976,82.1013,74.8887,36.0632,8.4403
6341401139,1205,156.2548,12.0953,75.2442,68.6340,33.0512,7.7354
6341401146,1205,0.0933,0.0072,0.0449,0.0410,0.0197,0.0046
6341401147,1205,126.4282,9.7865,60.8813,55.5328,26.7422,6.2588
6341401148,1205,125.5219,9.7164,60.4449,55.1347,26.5505,6.2140
6341401149,1205,142.1611,11.0044,68.4574,62.4434,30.0701,7.0377
6341401156,1205,1.6983,0.1654,1.1359,0.3970,0.1323,0.0221
6341401157,1205,22.4131,1.7599,16.9104,3.3054,1.1018,0.6574
6341401158,1205,2.3164,0.1817,1.7486,0.3406,0.1135,0.0681
6341401159,1205,25.9441,2.0348,19.5853,3.8153,1.2718,0.7631
6341401161,1205,1.0954,0.0981,0.7929,0.1798,0.1308,0.0327
6341401162,1205,4.6004,0.4120,3.3301,0.7553,0.5493,0.1373
6341401163,1205,27.6844,2.4792,20.0402,4.5452,3.3056,0.8264
6341401164,1205,32.8856,2.9450,23.8052,5.3991,3.9266,0.9817
6341401168,1205,17.5203,1.3741,13.2261,2.5765,0.8588,0.5153
6341401169,1205,12.4151,0.9737,9.3722,1.8258,0.6086,0.3652
6341401170,1205,3.7954,0.2933,2.0189,1.2958,0.7381,0.3352
6341401171,1205,27.0529,2.0819,14.2579,9.3581,5.3128,2.4298
6341401172,1205,27.9068,1.6454,18.0300,7.1505,4.2301,1.4933
6341401173,1205,60.1084,3.3995,41.8043,12.9238,7.9726,2.3112
6341401174,1205,71.3927,4.2684,49.8510,14.9945,9.3767,2.6850
6341401175,1205,17.2758,1.6827,11.5546,4.0385,1.3462,0.2244
6341401177,1205,28.6720,2.1329,20.0520,5.6057,2.0077,0.8373
6341401178,1205,28.8253,1.3375,18.0009,7.2191,2.9285,1.2480
6341401180,1205,31.2496,2.3915,16.2625,11.0011,6.2180,2.8699
6341401181,1205,51.4361,3.9364,26.7677,18.1076,10.2347,4.7237
