agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
1430001056880,0-150_00,150,JPY,0,0,
1430001056880,0-160_00,160,JPY,0,0,
1430001056880,0-170_00,170,JPY,0,0,
1430001056880,0-180_00,180,JPY,0,0,
1430001056880,0-190_00,190,JPY,0,0,
1430001056880,0-200_00,200,JPY,0,0,
1430001056880,0-210_00,210,JPY,0,0,
1430001056880,0-220_00,220,JPY,0,0,
1430001056880,0-230_00,230,JPY,0,0,
1430001056880,0-240_00,240,JPY,0,0,
1430001056880,0-250_00,250,JPY,0,0,
1430001056880,0-260_00,260,JPY,0,0,
1430001056880,0-270_00,270,JPY,0,0,
1430001056880,0-280_00,280,JPY,0,0,
1430001056880,0-290_00,290,JPY,0,0,
1430001056880,0-300_00,300,JPY,0,0,
1430001056880,0-310_00,310,JPY,0,0,
1430001056880,0-320_00,320,JPY,0,0,
1430001056880,0-330_00,330,JPY,0,0,
1430001056880,0-340_00,340,JPY,0,0,
1430001056880,0-350_00,350,JPY,0,0,
1430001056880,0-360_00,360,JPY,0,0,
1430001056880,0-370_00,370,JPY,0,0,
1430001056880,0-380_00,380,JPY,0,0,
1430001056880,0-390_00,390,JPY,0,0,
1430001056880,0-400_00,400,JPY,0,0,
1430001056880,0-410_00,410,JPY,0,0,
1430001056880,0-420_00,420,JPY,0,0,
1430001056880,0-430_00,430,JPY,0,0,
1430001056880,0-440_00,440,JPY,0,0,
1430001056880,0-450_00,450,JPY,0,0,
1430001056880,0-460_00,460,JPY,0,0,
1430001056880,0-470_00,470,JPY,0,0,
1430001056880,0-480_00,480,JPY,0,0,
1430001056880,0-490_00,490,JPY,0,0,
1430001056880,0-500_00,500,JPY,0,0,
1430001056880,0-510_00,510,JPY,0,0,
1430001056880,0-520_00,520,JPY,0,0,
1430001056880,0-530_00,530,JPY,0,0,
1430001056880,0-540_00,540,JPY,0,0,
1430001056880,0-550_00,550,JPY,0,0,
1430001056880,0-560_00,560,JPY,0,0,
1430001056880,0-570_00,570,JPY,0,0,
1430001056880,0-580_00,580,JPY,0,0,
1430001056880,0-590_00,590,JPY,0,0,
1430001056880,0-600_00,600,JPY,0,0,
1430001056880,0-610_00,610,JPY,0,0,
1430001056880,0-620_00,620,JPY,0,0,
1430001056880,0-630_00,630,JPY,0,0,
1430001056880,0-640_00,640,JPY,0,0,
1430001056880,0-650_00,650,JPY,0,0,
1430001056880,0-660_00,660,JPY,0,0,
1430001056880,0-670_00,670,JPY,0,0,
1430001056880,0-680_00,680,JPY,0,0,
1430001056880,0-690_00,690,JPY,0,0,
1430001056880,0-700_00,700,JPY,0,0,
1430001056880,0-710_00,710,JPY,0,0,
1430001056880,0-720_00,720,JPY,0,0,
1430001056880,0-730_00,730,JPY,0,0,
1430001056880,0-740_00,740,JPY,0,0,
1430001056880,0-750_00,750,JPY,0,0,
1430001056880,0-760_00,760,JPY,0,0,
